AIRCRAFT DESTINATION DEPARTURE AIRLINE
ECLZN LGMK 00:19 VLG
ECLQK LLBG 00:47 VLG
ECHFK LEPA 02:37 SWT
ECMHS LPPT 03:25 VLG
ECMFN LEBB 03:51 VLG
N327UP LEVC 03:58 UPS
TCJSO LTBA 04:01 THY
EIDAM LIME 04:09 RYR
EIDWK EBBR 04:11 RYR
EIDCJ EGSS 04:17 RYR
LYVEO LEST 04:21 VLG
EIDHT EYVI 04:21 RYR
GEZUM LSGG 04:27 EZY
ECMLE LFRS 04:30 VLG
EIDTO LIRF 04:33 AZA
EIEFW LEST 04:34 RYR
HBIOF LSZH 04:40 SWR
ECMBY LDZA 04:40 VLG
ECLRG EDDP 04:40 VLG
EIDAE LIRF 04:45 RYR
EIFIY LEIB 04:46 RYR
EIDHG EDDH 04:47 RYR
ECMGZ LIPZ 04:49 VLG
CSTTI LPPT 04:53 TAP
EIENO LFOB 04:56 RYR
PHBXG EHAM 04:58 KLM
ECMKV LESO 04:58 VLG
ECMJR EGGW 05:01 VLG
CSTRO LPPR 05:02 VLG
ECMJC LDSP 05:04 VLG
ECLQM EBBR 05:04 VLG
ECMHB LFPO 05:07 VLG
ECMHA LEPA 05:09 VLG
ECLUN DAAG 05:10 VLG
ECLML LEIB 05:12 VLG
ECLVC LEGR 05:14 VLG
ECMLD EHAM 05:14 VLG
ECMGF EDDF 05:15 VLG
ECKMI LEZL 05:20 VLG
GEUYC EGLL 05:20 BAW
GEZWZ EGKK 05:21 EZY
DAIRM EDDF 05:25 DLH
ECLRY LEMD 05:25 VLG
ECLOB LFMN 05:30 VLG
ECHUH LEMD 05:31 IBE
ECLQL EDDM 05:36 VLG
ECJTQ LEVX 05:38 VLG
ECLZF LEMH 05:40 VLG
ECLZO EGKK 05:40 VLG
GEZTA LFSB 05:42 EZY
ECMKN LSGG 05:44 VLG
ECMIQ LIRQ 05:45 VLG
ECHQI LIRF 05:46 VLG
ECLRN LFPG 05:46 VLG
ECMBE LSZH 05:49 VLG
EIDHX LIPE 05:54 RYR
ECLRM EGBB 05:55 VLG
ECLVP LKPR 6:00 VLG
FF111 LFMN 6:02 HBF
ECJBX LEPA 6:03 SWT
ECJRE LEMD 6:05 IBE
DAIDP EDDM 6:06 DLH
ECKLT LEMD 6:06 VLG
EIDPG LEPA 6:08 RYR
EIFJN GCXO 6:10 IBK
EIFJP LEBB 6:15 IBK
DAISV EDDF 6:15 DLH
EIFJM ESSA 6:17 IBK
EIFJL ENBR 6:18 IBK
ECMKX LFPO 6:18 VLG
EIENL GMMX 6:23 RYR
EIFHS ENGM 6:26 IBK
EIFJK EFHK 6:26 IBK
ECLZE LFQQ 6:32 VLG
ECLTG ETNL 6:38 LAV
DIMRB EDDS 6:38 EFD
OYRUP GCXO 6:41 IBK
ECLYB LEMH 6:41 AEA
GEZWE LIMC 6:46 EZY
ECLVV LEPA 6:47 VLG
ECJLI LEMD 6:48 IBE
GEZAT LFBD 07:00 EZY
ECLXV LEPA 07:01 AEA
EIFOG LEZL 07:06 RYR
PHXRD EHAM 07:07 TRA
DAEBP EDDM 07:08 DLH
ECMJZ LEBZ 07:11 ANE
