Adria Airways	ADR
Aegean Airlines	AEE
Aeroflot	AFL
Aerolineas Argentinas	ARG
Air Algerie	DAH
Air Baltic	BTI
Air Berlin	BER
Air Canada	ACA
Air China	CCA
Air Europa	AEA
Air France	AFR
Air Nostrum	ANE
Alitalia	AZA
Aliexpress	SMX
C.A.I. Second	VLE
American Airlines	AAL
Arkia Israel Airlines	AIZ
Asiana Airlines	AAR
Austrian Airlines	AUA
Avianca	AVA
Ba Cityflyer	CFE
British Airways	BAW
Brussels Airlines	BEL
Croatia Airlines	CTN
Czech Airlines	CSA
Delta	DAL
EgyptAir	MSR
ElAl	ELY
Emirates	UAE
Estonian	ELL
Finnair	FIN
Iberia	IBE
Israir	ISR
KLM	KLM
LOT Polish Airlines	LOT
Lufthansa	DLH
Niki	NLY
Qatar Airways	QTR
Rossiya	SDM
Royal Air Maroc	RAM
Royal Jordanian	RJA
Scandinavian Airlines	SAS
Singapore Airlines	SIA
Swiss International Air lines	SWR
TAP Portugal	TAP
Tarom	ROT
Tunisair	TAR
Turkish Airlines	THY
Ukraine International Airlines	AUI
United Airlines	UAL
US Airways	AWE
Vueling	VLG
