Aer Lingus	EIN
Air Arabia Maroc	MAC
Air Moldova	MLD
Air Transat	TSC
Atlantic Airways	FLI
Aigle Azur	AAF
Blue Air	BMS
Bulgaria Air	LZB
Chalair Aviation	CLG
Corendon Airlines	CAI
Enter Air	ENT
Evelop Airlines	EVE
Gambia International Airlines	GNR
Germanwings	GWI
Russian Sky Airlines	ESL
Icelandair	ICE
Jet2.com	EXS
Jetairfly	JAF
Luxair	LGL
Metrojet	MTJ
Monarch Airlines	MON
Norwegian Air Shuttle	NAX
IBERWORLD	IWD
Orenburg Airlines	ORB
Pakistan International Airlines	PIA
Air Cargo America	MVM
Primera Air Scandinavia	PRI
Ryanair	RYR
Scottish Airways Flyers	SKO
Carpatair Flight Service	SMW
Transaero Airlines	TSO
Transavia Holland	TRA
Ural Airlines	SVR
UTair	TUM
Vim Airlines	MOV
Wizz Air	WZZ
WOW AIR	WOW
