AIRCRAFT ORIGIN ARRIVAL AIRLINE
ECMKN LGSR 03:36 VLG
N761AJ KJFK 05:06 AAL
ECMAI BIKF 05:50 VLG
ECLZZ URKK 06:15 VLG
VQBTN UUEE 06:28 ABG
OHLZD EFHK 06:30 FIN
N823NW KATL 06:37 DAL
ECMEA ULLI 06:48 VLG
ECLZN LGMK 06:50 VLG
ECMGE UUDD 06:58 VLG
ECMEQ OLBA 07:03 VLG
N76054 KEWR 07:10 UAL
9VSWD SBGR 07:16 SIA
TCJNZ LTBA 07:36 THY
CGHLQ CYUL 08:01 ROU
ECMBK UWKD 08:19 VLG
ECLUT LLBG 08:45 AEA
N790AN KMIA 08:48 AAL
ECMMU GCLP 08:53 VLG
LNRNO ENGM 08:55 SAS
N290AY KPHL 09:07 AAL
VQBHK UUEE 09:10 AFL
ECMMH GCXO 09:13 VLG
VPBWG ULLI 09:17 SDM
LNNGP ENGM 09:26 NAX
N900JG LLBG 09:40 ZZZ
CFIYE CYYZ 09:47 ROU
ECLQK LLBG 09:56 VLG
N803NW KJFK 10:13 DAL
N283AY KCLT 10:17 AAL
CFDAT CYUL 10:34 TSC
CGTSW CYYZ 10:41 TSC
N76062 KIAD 10:43 UAL
URPSS UKBB 10:48 AUI
4XELD LLBG 10:50 ELY
TCJVM LTFJ 10:58 THY
URPSO UKBB 11:02 AUI
A7AEC OTHH 11:11 QTR
A6EOP OMDB 11:15 UAE
TCJHZ LTBA 11:46 THY
EIDHT EYVI 11:56 RYR
TCCPG LTFJ 11:59 PGT
SUGCE HECA 12:11 MSR
N969AV SKBO 13:07 AVA
EIFJL ENBR 13:34 IBK
EIFJM ESSA 13:45 IBK
OYRUP GCXO 13:59 IBK
LVCSX SAEZ 14:11 ARG
VQBBG UUEE 14:20 AFL
PTMSV SBGR 14:21 TAM
EIFJK EFHK 14:47 IBK
TCJIP LTBA 14:58 THY
TCDCF LTFJ 15:01 PGT
VPBAS UUDD 15:08 KTK
ECJFF GCFV 15:11 VLG
LNRRG ENGM 15:13 SAS
ECMMH GCXO 17:14 VLG
EIDHO ESKN 17:17 RYR
HALWY EVRA 17:23 WZZ
LNDYP ESSA 17:26 NAX
ECMFB ENGM 17:35 VLG
ECMMU GCLP 17:40 VLG
ECLUT GCXO 17:41 AEA
A7ACD OTHH 18:13 QTR
OHLZB EFHK 18:22 FIN
A6EEH OMDB 18:30 UAE
CSTRN ESSA 18:46 VLG
EIDLH GCLP 19:11 RYR
N900AL HTDA 19:20 ZZZ
ECMKT EFHK 19:25 VLG
EIFHS ENGM 19:37 IBK
TFBRO BIKF 19:52 WOW
ERAXP LUKK 20:13 MLD
TCJRF LTBA 20:39 THY
EIFJN ENGM 21:15 IBK
VPBZA UUEE 21:21 AFL
VPBRI UUDD 22:17 AUL
OYRUP GCLP 22:34 IBK
YLPSH BIKF 22:42 PRW
